file name,roll,pitch,yaw
20230926-033742_41.png,0.05,-4.74,1.62
20230926-033742_42.png,0.52,-4.96,2.16
20230926-033742_43.png,0.96,-4.82,2.57
20230926-033742_44.png,1.39,-4.98,3.08
20230926-033742_45.png,1.63,-4.84,3.5
20230926-033742_46.png,1.38,-5.17,4.35
20230926-033742_47.png,1.21,-5.22,5.07
20230926-033742_48.png,1.53,-5.22,6.21
20230926-033742_49.png,1.54,-5.4,7.32
20230926-033743_50.png,1.76,-5.49,7.9
20230926-033743_51.png,1.98,-5.63,8.45
20230926-033743_52.png,2.08,-5.93,9.21
20230926-033743_53.png,2.06,-5.91,9.83
20230926-033743_54.png,2.15,-5.86,10.45
20230926-033743_55.png,2.28,-5.82,10.84
20230926-033743_56.png,2.54,-5.67,11.49
20230926-033743_57.png,3.02,-5.18,12.56
20230926-033743_58.png,3.41,-4.77,13.18
20230926-033744_59.png,4.38,-4.42,14.38
20230926-033744_60.png,4.6,-4.23,14.73
20230926-033744_61.png,4.68,-3.84,15.53
20230926-033744_62.png,4.34,-3.9,16.22
20230926-033744_63.png,3.93,-4.6,17.02
20230926-033744_64.png,3.53,-5.36,17.86
20230926-033744_65.png,3.54,-5.57,18.1
20230926-033744_66.png,3.69,-5.95,18.82
20230926-033744_67.png,3.78,-6.07,19.43
20230926-033744_68.png,3.97,-5.87,19.82
20230926-033744_69.png,3.74,-5.73,20.25
20230926-033745_70.png,3.55,-5.51,20.33
20230926-033745_71.png,3.38,-5.48,20.48
20230926-033745_72.png,3.27,-5.41,20.57
20230926-033745_73.png,2.92,-5.24,21.02
20230926-033745_74.png,2.75,-4.88,21.47
20230926-033745_75.png,2.76,-5.02,22.1
20230926-033745_76.png,2.49,-5.31,23.27
20230926-033745_77.png,2.31,-5.45,24.2
20230926-033745_78.png,2.35,-5.69,24.6
20230926-033745_79.png,2.54,-5.53,24.89
20230926-033745_80.png,2.88,-5.35,25.12
20230926-033745_81.png,2.81,-5.36,25.12
20230926-033746_82.png,2.83,-5.14,25.23
20230926-033746_83.png,2.82,-5.21,25.18
20230926-033746_84.png,3.06,-4.89,25.09
20230926-033746_85.png,3.17,-4.83,25.01
20230926-033746_86.png,3.25,-4.92,25.16
20230926-033746_87.png,3.09,-4.93,25.33
20230926-033746_88.png,3.31,-4.96,26.14
20230926-033746_89.png,3.1,-5.07,26.82
20230926-033746_90.png,2.97,-5.07,27.5
20230926-033747_91.png,2.91,-5.04,27.84
20230926-033747_92.png,2.67,-5.06,27.89
20230926-033747_93.png,2.5,-5.28,28.31
20230926-033747_94.png,2.24,-5.24,28.93
20230926-033747_95.png,2.38,-5.19,29.59
20230926-033747_96.png,2.62,-5.23,30.32
20230926-033747_97.png,2.46,-5.25,30.85
20230926-033747_98.png,2.63,-5.23,31.3
20230926-033747_99.png,2.73,-5.21,31.56
20230926-033747_100.png,2.89,-5.3,31.87
20230926-033747_101.png,2.96,-5.33,32.36
20230926-033748_102.png,2.99,-5.37,32.97
20230926-033748_103.png,2.87,-5.73,34.4
20230926-033748_104.png,3.72,-5.95,35.49
20230926-033748_105.png,4.33,-6.06,36.36
20230926-033748_106.png,4.29,-6.34,37.1
20230926-033748_107.png,5.03,-6.18,38.07
20230926-033748_108.png,5.33,-6.31,39.51
20230926-033748_109.png,5.14,-6.19,40.14
20230926-033748_110.png,5.11,-5.99,40.51
20230926-033749_111.png,4.82,-5.88,39.49
20230926-033749_112.png,4.4,-5.33,36.77
20230926-033749_113.png,3.98,-5.33,33.85
20230926-033749_114.png,3.78,-5.25,33.1
20230926-033749_115.png,3.6,-5.1,32.44
20230926-033749_116.png,3.35,-5.48,31.56
20230926-033749_117.png,2.89,-5.58,29.26
20230926-033749_118.png,2.74,-5.72,27.33
20230926-033749_119.png,2.42,-5.83,25.89
20230926-033749_120.png,2.25,-6,24.48
20230926-033749_121.png,2.04,-5.95,21.98
20230926-033750_122.png,1.74,-6.35,19.24
20230926-033750_123.png,1.78,-6.35,17.34
20230926-033750_124.png,1.49,-5.75,14.11
20230926-033750_125.png,1.53,-5.78,12.27
20230926-033750_126.png,1.23,-6.33,9.55
20230926-033750_127.png,1.54,-6.54,6.35
20230926-033750_128.png,1.56,-6.51,4.4
20230926-033750_129.png,1.44,-6.03,2.39
20230926-033750_130.png,1.53,-6.2,0.51
20230926-033750_131.png,1.55,-6.02,-2.53
20230926-033750_132.png,1.72,-5.96,355.64
20230926-033750_133.png,1.94,-6.48,353.65
20230926-033751_134.png,2.13,-6.46,352.19
20230926-033751_135.png,1.96,-6.36,350.12
20230926-033751_136.png,1.92,-6.38,348.43
20230926-033751_137.png,1.65,-6.48,346.87
20230926-033751_138.png,1.36,-6.72,345.5
20230926-033751_139.png,1.24,-6.95,344.1
20230926-033751_140.png,1.09,-7.22,342.19
20230926-033751_141.png,1.19,-7.32,340.21
20230926-033751_142.png,1.33,-7.75,338.12
20230926-033751_143.png,0.98,-8.06,335.87
20230926-033751_144.png,1.27,-7.87,334.21
20230926-033752_145.png,1.58,-7.83,331.98
20230926-033752_146.png,1.57,-7.9,329.3
20230926-033752_147.png,1.23,-8.03,326.62
20230926-033752_148.png,1.21,-8.51,323.84
20230926-033752_149.png,1.17,-8.51,322.64
20230926-033752_150.png,0.8,-8.41,320.84
20230926-033752_151.png,0.79,-8.2,318.87
20230926-033752_152.png,0.9,-8.2,317.87
20230926-033752_153.png,1.12,-8.3,316.49
20230926-033752_154.png,0.79,-8.46,315.35
20230926-033753_155.png,0.18,-9.13,312.7
20230926-033753_156.png,-0.18,-8.42,310.82
20230926-033753_157.png,-0.55,-8.3,309.99
20230926-033753_158.png,-0.81,-8.27,309.07
20230926-033753_159.png,-1.32,-8.23,307.61
20230926-033753_160.png,-2.15,-8.15,306.59
20230926-033753_161.png,-2.8,-8,305.79
20230926-033753_162.png,-3.06,-7.89,305.34
20230926-033753_163.png,-3.42,-7.7,304.6
20230926-033753_164.png,-3.65,-7.45,303.73
20230926-033753_165.png,-4.28,-7.57,302.48
20230926-033753_166.png,-4.89,-7.71,301.52
20230926-033754_167.png,-5.53,-7.85,300.13
20230926-033754_168.png,-5.78,-8.05,297.54
20230926-033754_169.png,-5.63,-7.64,296.48
20230926-033754_170.png,-5.36,-7.14,294.78
20230926-033754_171.png,-5.49,-7.29,293.29
20230926-033754_172.png,-5.73,-7.68,291.49
20230926-033754_173.png,-6.06,-8.42,288.59
20230926-033754_174.png,-5.92,-8.92,286.98
20230926-033754_175.png,-5.82,-9.18,285.66
20230926-033754_176.png,-5.38,-9.29,284.11
20230926-033755_177.png,-5.46,-9.6,282.67
20230926-033756_190.png,-4.47,-10.43,267.36
20230926-033756_191.png,-4.23,-10.33,266.85
20230926-033756_192.png,-3.97,-10.25,265.86
20230926-033756_193.png,-4.01,-10.29,264.99
20230926-033756_194.png,-3.74,-10.22,264.76
20230926-033756_195.png,-3.41,-9.96,264.5
20230926-033756_196.png,-3.58,-9.68,264.29
20230926-033756_197.png,-3.31,-9.91,264.09
20230926-033757_198.png,-2.1,-9.86,263.98
20230926-033757_199.png,-0.46,-9.4,264.23
20230926-033757_200.png,0.61,-9.07,264.16
20230926-033757_201.png,2.13,-8.68,263.98
20230926-033757_202.png,4.33,-7.9,264.17
20230926-033757_203.png,5.62,-7.11,264.27
20230926-033757_204.png,6.68,-7.07,264.23
20230926-033757_205.png,7.46,-6.92,264.51
20230926-033757_206.png,8.28,-6.36,264.82
20230926-033757_207.png,10.16,-6.23,265.64
20230926-033757_208.png,12.03,-6.35,266.26
20230926-033757_209.png,13.39,-5.94,266.56
20230926-033758_210.png,14.85,-5.49,266.97
20230926-033758_211.png,16.65,-5.19,267.56
20230926-033758_212.png,20.16,-5.2,268.36
20230926-033758_213.png,23.05,-5.28,268.32
20230926-033758_214.png,26.96,-4.46,268.03
20230926-033758_215.png,28.47,-4.1,268.67
20230926-033758_216.png,29.98,-3.96,268.77
20230926-033758_217.png,33.45,-4.5,268.86
20230926-033758_218.png,37.87,-4.57,268.83
20230926-033758_219.png,40.75,-5.41,268.91
20230926-033758_220.png,44.52,-5.98,268.61
20230926-033758_221.png,48.32,-6.32,268.7
20230926-033759_222.png,51.01,-6.61,268.73
20230926-033759_223.png,53.71,-6.96,268.67
20230926-033759_224.png,55.71,-6.64,268.86
20230926-033759_225.png,58.7,-6.77,268.77
20230926-033759_226.png,59.99,-7.12,268.54
20230926-033759_227.png,60.39,-6.92,268.69
20230926-033759_228.png,62.7,-7.14,268.76
20230926-033759_229.png,64.51,-7.35,268.5
20230926-033759_230.png,65.03,-7.5,268.44
20230926-033759_231.png,65.87,-7.48,268.54
20230926-033800_232.png,67.42,-7.74,268.35
20230926-033800_233.png,69.04,-7.85,268.27
20230926-033800_234.png,73.02,-7.81,268.45
20230926-033800_235.png,73.74,-7.82,268.45
20230926-033800_236.png,74.56,-8.19,268.6
20230926-033800_237.png,75.18,-8.78,269.06
20230926-033800_238.png,75.68,-8.8,269.34
20230926-033800_239.png,76.64,-8.64,270.11
20230926-033800_240.png,77.06,-8.64,270.87
20230926-033800_241.png,77.35,-8.77,272.08
20230926-033800_242.png,77.65,-8.85,272.79
20230926-033801_243.png,77.5,-8.88,273.91
20230926-033801_244.png,79.19,-8.92,276.68
20230926-033801_245.png,79.43,-8.81,277.96
20230926-033801_246.png,79.39,-8.71,278.81
20230926-033801_247.png,79.9,-8.55,280.03
20230926-033801_248.png,79.94,-8.36,281.73
20230926-033801_249.png,79.63,-8.17,282.9
20230926-033801_250.png,79.84,-8.04,284.37
20230926-033801_251.png,80.25,-8.11,285.84
20230926-033801_252.png,80.9,-8.33,287.44
20230926-033801_253.png,81.78,-8.54,290.61
20230926-033801_254.png,83.7,-8.38,294.43
20230926-033801_255.png,83.95,-8.16,296.52
20230926-033802_256.png,84.22,-8.09,299.38
20230926-033802_257.png,84.5,-8.24,303.12
20230926-033802_258.png,84.22,-8.29,304.49
20230926-033802_259.png,84.61,-8.29,306.06
20230926-033802_260.png,84.46,-8.27,309.37
20230926-033802_261.png,84.39,-8.45,311.5
20230926-033802_262.png,84.54,-8.51,313.38
20230926-033802_263.png,84.16,-8.57,315.45
20230926-033802_264.png,83.48,-8.45,317.61
20230926-033802_265.png,83.29,-8.61,320.38
20230926-033802_266.png,83.54,-8.25,321.85
20230926-033803_267.png,84.07,-7.89,324.49
20230926-033803_268.png,82.72,-7.03,326.68
